County_Name,median2024,l80_1,l80_2,l80_3,l80_4,l80_5,l80_6,l80_7,l80_8
Alamosa County,69800,52750,60300,67850,75350,81400,87450,93450,99500
Arapahoe County,130400,71900,82150,92400,102650,110900,119100,127300,135500
Archuleta County,83800,52750,60300,67850,75350,81400,87450,93450,99500
Baca County,69800,52750,60300,67850,75350,81400,87450,93450,99500
Bent County,56800,52750,60300,67850,75350,81400,87450,93450,99500
Boulder County,148400,72350,82700,93050,103350,111650,119900,128200,136450
Broomfield County,130400,71900,82150,92400,102650,110900,119100,127300,135500
Chaffee County,89000,52750,60300,67850,75350,81400,87450,93450,99500
Cheyenne County,93600,52750,60300,67850,75350,81400,87450,93450,99500
Clear Creek County,130400,71900,82150,92400,102650,110900,119100,127300,135500
Conejos County,66200,52750,60300,67850,75350,81400,87450,93450,99500
Costilla County,52200,52750,60300,67850,75350,81400,87450,93450,99500
Crowley County,66000,52750,60300,67850,75350,81400,87450,93450,99500
Custer County,76800,52750,60300,67850,75350,81400,87450,93450,99500
Delta County,76900,52750,60300,67850,75350,81400,87450,93450,99500
Denver County,130400,71900,82150,92400,102650,110900,119100,127300,135500
Dolores County,97700,53600,61250,68900,76550,82700,88800,94950,101050
Douglas County,130400,71900,82150,92400,102650,110900,119100,127300,135500
Eagle County,121400,72900,83300,93700,104100,112450,120750,129100,137400
Elbert County,130400,71900,82150,92400,102650,110900,119100,127300,135500
El Paso County,104000,58250,66600,74900,83200,89900,96550,103200,109850
Fremont County,78500,52750,60300,67850,75350,81400,87450,93450,99500
Garfield County,102400,57350,65550,73750,81900,88500,95050,101600,108150
Gilpin County,130400,71900,82150,92400,102650,110900,119100,127300,135500
Grand County,111000,57500,65700,73900,82100,88700,95250,101850,108400
Gunnison County,120100,57700,65950,74200,82400,89000,95600,102200,108800
Hinsdale County,73300,52750,60300,67850,75350,81400,87450,93450,99500
Huerfano County,69200,52750,60300,67850,75350,81400,87450,93450,99500
Jackson County,73500,52750,60300,67850,75350,81400,87450,93450,99500
Jefferson County,130400,71900,82150,92400,102650,110900,119100,127300,135500
Kiowa County,67300,52750,60300,67850,75350,81400,87450,93450,99500
Kit Carson County,76500,52750,60300,67850,75350,81400,87450,93450,99500
Lake County,100800,53600,61250,68900,76550,82700,88800,94950,101050
La Plata County,110500,61900,70750,79600,88400,95500,102550,109650,116700
Larimer County,118800,66550,76050,85550,95050,102700,110300,117900,125500
Las Animas County,67700,52750,60300,67850,75350,81400,87450,93450,99500
Lincoln County,95000,53200,60800,68400,76000,82100,88200,94250,100350
Logan County,84500,52750,60300,67850,75350,81400,87450,93450,99500
Mesa County,86400,52750,60300,67850,75350,81400,87450,93450,99500
Mineral County,75800,52750,60300,67850,75350,81400,87450,93450,99500
Moffat County,84600,52750,60300,67850,75350,81400,87450,93450,99500
Montezuma County,77400,52750,60300,67850,75350,81400,87450,93450,99500
Montrose County,82900,52750,60300,67850,75350,81400,87450,93450,99500
Morgan County,86100,52750,60300,67850,75350,81400,87450,93450,99500
Otero County,65800,52750,60300,67850,75350,81400,87450,93450,99500
Ouray County,94600,57350,65550,73750,81900,88500,95050,101600,108150
Park County,130400,71900,82150,92400,102650,110900,119100,127300,135500
Phillips County,74000,52750,60300,67850,75350,81400,87450,93450,99500
Pitkin County,130500,68500,78250,88050,97800,105650,113450,121300,129100
Prowers County,65600,52750,60300,67850,75350,81400,87450,93450,99500
Pueblo County,76900,52750,60300,67850,75350,81400,87450,93450,99500
Rio Blanco County,89900,52750,60300,67850,75350,81400,87450,93450,99500
Rio Grande County,87000,52750,60300,67850,75350,81400,87450,93450,99500
Routt County,123400,66750,76250,85800,95300,102950,110550,118150,125800
Saguache County,62200,52750,60300,67850,75350,81400,87450,93450,99500
San Juan County,81500,52750,60300,67850,75350,81400,87450,93450,99500
San Miguel County,103500,61400,70150,78950,87700,94750,101750,108750,115800
Sedgwick County,76500,52750,60300,67850,75350,81400,87450,93450,99500
Summit County,128200,68250,78000,87750,97450,105250,113050,120850,128650
Teller County,94300,52850,60400,67950,75450,81500,87550,93600,99600
Washington County,73900,52750,60300,67850,75350,81400,87450,93450,99500
Weld County,114500,64150,73300,82450,91600,98950,106300,113600,120950
Yuma County,75700,52750,60300,67850,75350,81400,87450,93450,99500